USER_ID,Video_ID,Please describe what you saw while watching the video.,What did you focus on while watching the video?,I felt like I was actually there in the environment of the video.,It seemed as though I actually took part in the action of the video.,It was as though my true location had shifted into the environment of the video.,I felt as though I was physically present in the environment of the video.,"On a scale of 0-10, 0 being how you felt coming in, 10 being that you want to stop, what is your discomfort level now?"
YHSYQO,22,a man printing in the copy room,"1- trying to read the texts
2- the way the man is working with printer ",2,1,2,1,0
YHSYQO,3,a salesman is presenting his stuff in the store ,just the salesman! unfortunately the way he was moving distracted me  ,2,2,2,4,0
YHSYQO,1,a landscape of sunset and a lake ,the sunset,4,1,4,3,0
YHSYQO,28,a car in the road,the car itself and the pattern of movements of the drone carrying the camera,2,1,2,1,0
YHSYQO,8,ocean and the beach landscape ,the waves ,2,1,3,1,0
YHSYQO,25,peak full of snow ,the climbers moving toward the peak ,3,1,2,1,0
YHSYQO,13,an elevator moving up,just surrounding environment,4,2,4,3,0
YHSYQO,10,a lady walking through the forest,the symmetry of trees and how organized they are!,2,1,3,2,0
YHSYQO,11,a horse competition in a field of ancient era,supporters and horses themselves ,3,2,4,2,0
YHSYQO,30,sitting on the u.s. navy aircraft  ,the way all aircrafts were moving close to each otther,1,1,1,1,0
CSHZWW,0,"Several elephants walking around a grassy field, investigating the camera setup","The elephants in general, mostly the ones closest to the camera",3,2,2,3,0
CSHZWW,11,"A chariot race in a large stone arena, lots of spectators in stands around the track and around 5 other racers","After looking around at the setting, mostly the other riders and my own cart",4,2,3,4,0
CSHZWW,6,A group of hip hop type dancers in a circle around the camera doing a routine that moved around several times,The section of dancers that were performing the active dance,2,2,3,3,1
CSHZWW,3,"A very pink room with lots of shoes, hats, and fashion accessories.  A man walked in and gestured to several of the spaces and walked up some stairs","After looking around, the man himself as well as what he was gesturing to",4,1,3,4,0
CSHZWW,2,"A mostly still scene of a mountain side, lots of forest, rocky outcroppings, and big blue sky","Nothing specifically, just whatever small details caught my eye when looking around",3,2,3,3,0
CSHZWW,30,"Formation flying from the perspective of a Blue Angels pilot, there were four planes total",The other planes and how the landscape changed as we performed manuvers,4,4,3,4,0
CSHZWW,19,A mostly still video of this (or similar) lab with several people working in it,"The people, along with any details that caught my eye",4,3,4,3,0
CSHZWW,24,UTD students walking through the main intersection on campus,The people closest to the camera and the ones who paid more attention to it,4,4,3,4,1
CSHZWW,10,A woman wearing a dress following the camera through a barren and empty forest,"The mechanism that the camera was attached to, as well as the women who was following the camera",2,2,2,2,1
CSHZWW,8,"A flight over a tropical island beach, there was a mountain covered in trees and a single boat in the ocean","The boat, waves beneath me, and other small details",3,2,3,4,0
CSHZWW,28,A quad copter following a car along a small road through some open fields,"The drone itself, the car and the people inside it, and the ground below the camera",3,4,3,2,0
CSHZWW,26,A large waterfall going into a deep pit with lots of forest and mountains all around,Mostly the side of the video near the cliff and waterfall,2,2,3,2,0
CSHZWW,22,A man in a copy room copying a piece of paper,"Mostly the man/copy machine, and his backpack on the other table",3,2,2,3,0
CSHZWW,18,A man flew his drone up next to the 'Sailing Tower' in a large city,The building itself and the traffic on the streets below,3,4,4,3,0
CSHZWW,14,"An elevator going up to a floor high up in a building with a view, a man standing outside of the doors as the elevator arrived, and the elevator starting its descent again","The view outside the building, the man outside the doors, and the fact that I could not find the elevator buttons",3,2,2,2,0
NCLRBI,0,"some elephants come near me, and two of them have direct eye contact.","first, the whole environment, then elephants, especially the two nearest me",5,4,4,5,0
NCLRBI,3,a man is introducing the big white cloakroom to me,the man who is talking,5,3,4,4,0
NCLRBI,25,flying over snow covered mountain,beautiful view and how high it is,4,4,4,3,2
NCLRBI,8,beautiful island with beach and a small boat,the boat and beautiful scenery,3,2,3,2,1
NCLRBI,6,a lot of people dancing around me,people who are dancing,4,4,4,4,0
NCLRBI,2,I'm standing near the top of a mountain,the whole view surrounding me,5,2,5,4,0
NCLRBI,20,second floor of ECSN,"since i'm familiar with there, I focus on the details of the scene.",4,3,4,3,1
NCLRBI,9,i'm driving a car and racing with another car,"try to follow the track, but feel a little dizzy",4,4,4,4,4
NCLRBI,14,"i'm in the elevator, and it goes up, open the door, close the door and go down",door and the view in the right side,5,4,5,5,4
NCLRBI,12,i'm on the top of a car and driving inside the city ,view along the street,4,4,4,4,1
NCLRBI,24,I'm standing in some place in campus and people walking pass but didn't see me,people around me,4,3,4,3,3
NCLRBI,21,a guy is introduce a studio to me in a very tall building,the man,4,4,4,3,6
NCLRBI,18,seems like a drone is lifting me up and i can see the view of the city in sky,view of the city,5,5,5,5,3
NCLRBI,27,flying down from an plane in Dubai. wing-suit with other people,people near me and city view,2,3,2,2,3
NCLRBI,30,"i'm in the one of the plane, flying .",outside view and planes near me,2,2,2,2,2
XJAXSU,0,"Elephants walking in a vast area towards me. They stopped just in front of me, observing me.","Mostly, the two closest elephants and their actions towards me. Also, I've checked if there were other elephants behind me ",3,3,1,3,0
XJAXSU,29,"PAC-MAN video game. They put me right inside of the walls, as if I were playing the game","I focused on the path that was presented to me, as well as the characters / objects right in front of me.  ",4,4,4,3,7
XJAXSU,23,"I saw the entrance of the engineering building at UTD, where there is this big corridor and front door, with many people coming in and out.","I have not focused on any person specifically. I have looked around, seeing the many people passing by me.",3,3,2,2,0
XJAXSU,18,"I was connected to a drone, which made a straight movement upwards, right besides a building. The drone went all the way to the top of the building, where I could see the whole town.","I did not focus on any particular area. I looked around the city as the drone went up. Occasionally, I looked at the building besides me.",4,4,4,4,5
XJAXSU,19,I saw the the lab where the experiment is taking place. ,"I looked around, seeing all the three people working in the environment and the whole lab.",3,3,3,3,0
XJAXSU,6,People dancing around me.,"Initially, I focused on the dancers right in front of me. Then, I looked at the directions they suggested me with movements and arrows. Later on, I looked around at all dancers. ",2,2,2,2,2
XJAXSU,10,"A saw a woman walking on the woods. She was always walking towards me, while I was attached to a drone.","I mostly focused on the woman, but I looked at in the other direction (my ""back"") to see if something was going on, too. ",3,3,2,2,4
XJAXSU,21,"I saw a guy showing me a very spacious room, as if he was trying to sell it to me (real state business).","I focused on the man, while he moved around the room, showing me its features. Occasionally, I looked around the room, too.",3,3,3,3,4
XJAXSU,13,"I was inside an elevator in a building, while it went up and started going down again.","I mostly focused on what was in front of me, but I was curious to look around, to see if other things were showing up.",4,3,3,3,4
XJAXSU,12,"I saw a very busy downtown area, probably some street in New York. I was on top of a car going straight in the avenue.","I mostly focused on what was in front of me, but I also looked around the buildings passing by and behind me.",3,4,3,3,4
XJAXSU,2,"I was still, surrounded by mountains.","I focused on the mountains around me. I saw in every direction, to see the whole landscape.",2,2,2,2,2
XJAXSU,25,"I saw the snowy top of a mountain, while I passed by it, and many mountains around.","The peek of the mountain, for sure, but also some of the views around.",4,4,4,4,4
XJAXSU,3,A man presenting to me a very fancy lady's room. ,"I partially focused on what the man was showing to me, but I also looked around the room, in all directions.",3,2,3,3,3
XJAXSU,7,"A valley full of trees. I was flying on top of the trees, in a straight movement.","I mostly focused on was in front of me or right below me, looking at the top of the trees. I also looked around, including my back view.",4,4,4,4,4
XJAXSU,28,"I saw a car going straight in a road, while I was attached to a drone flying above the car. ","I mostly focused on the car in front of me and the road ahead. I tried to look behind me, but it caused me a lot of discomfort. I also looked a bit on my sides, to see the view surrounding me.",4,4,4,4,7
FPE9VT,0,A few elephants around amidst a lot of greenery. ,The couple of elephants that were close by. ,4,3,4,4,0
FPE9VT,8,"Mountains, rocks, seashore and a boat.",The seashore. ,3,2,4,3,0
FPE9VT,11,A horse race inside a Greek venue with audience cheering. Some sculptures at the center. ,The horses and the track. ,5,4,5,5,0
FPE9VT,30,A squadron of US Navy planes flying over some land. ,Co pilot of the plane that I was part of. ,5,4,4,4,0
FPE9VT,19,"The lab where the current study is happening. 
Some of the members of the lab were present.",The walls and the members of the lab.,2,1,1,1,0
FPE9VT,17,The sudden drop ride at an amusement park. ,Other rides in the park as well as the ground. ,5,5,5,5,0
FPE9VT,1,A rocky mountain place during a sunset.,A lake at a far distance and the nearby ground.,4,3,3,4,1
FPE9VT,25,A snow mountain range.,The nearby snow mountain.,4,3,4,4,1
FPE9VT,28,A car moving on a road in a field.,The car. ,4,3,3,3,2
FPE9VT,22,A person using a copier machine in a closed room. ,The person. ,3,1,2,2,2
FPE9VT,14,A transparent elevator in a high rise building.,The floor levels outside the elevator. ,4,2,4,4,2
FPE9VT,5,A group of seven rhinos in a field. ,The two rhinos near the small pond. ,4,2,3,3,2
FPE9VT,10,A lady walking down a forest path.,The lady. ,3,1,2,2,2
FPE9VT,4,Two people relaxing on the ECSW 4th floor.,The person walking around. ,3,2,3,3,2
FPE9VT,24,Students walking near the pathway between SUDH & Founders North .,Students walking by. ,3,2,3,2,2
G9W4CJ,0,A group of elephants in a plain.,Two elephants which were investigating the camera.,4,3,3,3,1
G9W4CJ,29,A first-person game of PacMan,The writing on the walls and occasionally the ghosts present,4,2,2,3,2
G9W4CJ,1,A possible timelapse of a sunset/sunrise while on a plateau overlooking a valley and lake,"The sun and lake, and also the environment around the camera",4,3,3,2,2
G9W4CJ,14,In an elevator in a skyscraper going up then down.,The city outside the windows of the elevator.,3,3,2,2,2
G9W4CJ,20,Inside one of the ECS buildings on campus,"Looking for if any people were around, and on the one who was partially visable",4,2,2,3,3
G9W4CJ,9,2 cars on a race track racing,"The stats (speed throttle) that were visible, and also the car the camera was mounted on.",3,3,2,3,3
G9W4CJ,8,"A beach/coastline backed by mountains and trees, alone with a single boat in the water.",The boat when the camera passed it and the waves/water.,3,2,3,3,3
G9W4CJ,21,An apartment/condo tour,The person showing off the room and the furnishings around.,2,2,3,2,3
G9W4CJ,25,A snowy mountain and more of a maintain range,The maintains surrounding the camera and the cliffs when the camera passed by,3,2,2,2,4
G9W4CJ,6,A group of people dancing around the camera,"The dancers, mostly who was and who wasn't dancing",3,1,1,2,4
G9W4CJ,23,The enterance to ECSS with a bunch of people walking around,The people around the camera,3,1,2,2,4
G9W4CJ,17,A power tower ride in a sort of resort,The area and rides around the tower,1,2,1,2,4
G9W4CJ,4,A hallway with two people in it,"Out the window, the person walking around, and at the end what I believe is a dead pixel on screen",3,2,1,2,4
G9W4CJ,12,A road of New York City being driven down,The ads and buildings lining the street the car was driving down,4,2,2,3,4
G9W4CJ,28,A car driving down a rural road with empty fields,The car which the drone was following and some trees which stood out and alone,1,2,1,2,4
NFBNUI,0,I saw a herd of elephants in a plain. I was half their height. I also saw a fly or mosquito land near me next to the grass. I saw a black symbol at my feet as well.,the elephants approaching me. the plains and hills around me. The view in the sky. As well as what was underneath me.,4,3,4,3,0
NFBNUI,4,I saw two students near a resting area in ECSW on the 4th floor. I also saw the camera in the reflection from the wall. The weather outside was hazy. The video felt a bit hazy as well.,The environment. I tried to figure out where in the building I was at. Also the people that went past the camera. Also how tall I was.,4,3,3,3,0
NFBNUI,28,I saw a me on a drone flying towards a car. There were two people in the car. I was flying across a meadow. There was also a screen at my feet that showed where the drone was going.The sun was weird. It seemed like a constant flash in the sky rather than a sun.,I focused on the drone I was on as well as the people in the car. I couldn't see them very well. The speed at which the drone was flying was okay as well.,3,4,4,3,1
NFBNUI,8,I saw the beach and the island. Also the reflections of the water and the seabed beneath looked quite nice as well. The boat and the advertisement looked definitive as well.,The sea and sky. Especially how the sea looked. The part that I liked the most was how it captured the transparency and allowed me to see inside the sea.,4,3,4,4,1
NFBNUI,21,A man introducing an apartment for sale and pitching it to the potential customer. I also saw a door that led right off the building or so it seemed it caused me confusion. Also while watching the video at times it would make me refocus on the man and the discontinuity made me feel uncomfortable. As the video went on the resolution became less as the man tried to open the fridge or cupboard I couldn't tell,I focused on the man. The pop-ups. The scenery outside. The transitioning of my view as well as furniture in the apartment. I looked at how the man spoke and why he did so. I felt short,4,2,3,4,4
NFBNUI,20,I saw the second floor of ECSN and the rotating view of the floor. The camera was moving by itself even though I was stationary and did not move. It felt weird as the immersion was shattered. also tilting my head made the video become fuzzy at the edges.,"I focused on the walls, the camera stand, and the fact that the camera was moving by itself. There wasn't much to notice. It was an ordinary floor of a building.",3,3,4,4,1
NFBNUI,23,I saw a crowd of people going to their destinations inside ECSS next to the main entrance. I saw many people walk by and stare at me. Their faces blurred when they got to a certain distance near me. The video felt a bit jittery.,The faces of the people. The words on the board to see if I could read them. I also tried to see if I could see the shadows of people.,4,3,4,4,0
NFBNUI,13,I was in an elevator in some building going up. At the start of the video I thought I was on top of an elevator but as the video went on I noticed the buttons on the elevator and realized that the elevator has glass doors. ,I focused on how it felt going up an elevator as well as how the outsides were changing. I also tried to see where I was at but couldn't figure it out. The camera stand at feet looked a bit odd.,4,4,3,3,2
NFBNUI,17,I was on a ride at the amusement park. The one that goes up really fast and down really fast. I missed the first part since I wasn't looking down but rather to my side. So I didn't realize when I got up there. As for the part where the ride stopped up above. I was able to see the faces of all the passengers clearly as well as the surrounding scenery.,I focused on the building I could see as well as the person behind me and the people next to them.,4,4,3,4,0
NFBNUI,6,I saw a group of dancers perform and do a dance. Their routine was nice. The resolution fell better as well. I could tell what they were doing. Though I got confused at times when they all started moving together.,I focused on the dancers themselves their body language as well as their facial expressions and also the green arrows shown in the video. It felt surprising when they all came so close to the camera at the end of the video,4,4,4,3,0
NFBNUI,9,I was on a car watching two cars race (mine included). I saw the user interface in front of me which felt fake. The race track felt real and lively.,I focused on the road and the car next to mine. As well as the map displayed above my head.,3,3,4,3,2
NFBNUI,2,I saw a mountainous area where I was on a patch of dirt. I saw big clouds that were not moving at all which felt strange.,The ground was filled with rocks. The sky was filled with clouds. I focused on my surroundings. ,3,3,3,2,2
NFBNUI,30,I saw navy jets flying and a man in the backseat talking picture as his pilot was flying. I saw the world turn upside down.,How it felt to be in a fighter jet and doing a loop in it. I saw a group of jets near ours and felt that we were going to crash with them any time but it didn't happen.,4,4,4,4,1
NFBNUI,11,I was participating in a race in a Colosseum. I saw the horses and the giant statue as well as the other racers. I saw the audience which felt rigid and the guard and an old man come out of a door. I saw an accident. ,I focused on the environment trying to take in the sights before me. I was stunned when I saw the statue though it was in low resolution it felt like I was right beneath it. I also focused on how I moved my body when I saw the events unfold and I saw that I was leaning towards where I would be if I was actually there in the video,5,4,4,4,0
NFBNUI,25,I didn't see anything that was holding onto the camera. I saw the logo of the production company as well as the two hikers. I saw the snowy mountain range.,I focused on the mountain and the sky. I couldn't tell how big the mountain was since I was in the air. I also couldn't judge the distance well either.,4,3,3,3,0
E9C5GX,0,Elephants in a meadow,the animals,3,2,3,3,0
E9C5GX,6,Dancers dancing ,People,2,1,2,2,0
E9C5GX,27,Skydiving ,The view of Dubai,2,1,2,2,0
E9C5GX,11,Horses and Cars in a race,"The buildings, crowd and the race",2,1,2,2,0
E9C5GX,21,A penthouse ,The apartments features ,2,2,2,2,0
E9C5GX,2,"Mountains, sky and valley ",The view,2,2,2,2,0
E9C5GX,17,"Amusement Park, ",This is scary.,3,2,3,3,1
E9C5GX,20,UTD Eric Johnson,Building ,2,1,2,2,0
E9C5GX,25,Snowy mountains ,Nature and height ,3,2,3,3,0
E9C5GX,7,Forest,"Trees, cottages and view",3,1,3,3,0
E9C5GX,4,Two guys waiting,Those two,2,1,2,2,0
E9C5GX,24,"UTD, outside Eric Johnson and students",People,2,1,2,2,0
E9C5GX,29,PACMAN life,the enemies ,3,3,3,3,0
E9C5GX,9,Racing ,how to turn ,2,2,2,2,0
E9C5GX,14,Elevator ,elevating ,2,1,2,2,0
MFV8IE,0,I saw a group of elephants,First the whole group an then the big elephants in front.,4,3,3,3,1
MFV8IE,19,"I saw the lab where I am now, but I was viewing it from an upper position. ",I explored the whole room trying to look for new things. ,4,3,3,4,7
MFV8IE,11,I saw horse and cars in a big arena. The arena was filled of people and the camera was in one of the cars. It was giving rounds. ,"the horses, the crowd and the statues/ architecture",3,4,3,3,5
MFV8IE,22,A copy room. With a person making copies. ,I explored the room. ,4,3,3,4,6
MFV8IE,14,A panoramic elevator going up. ,the scenery  and the elevator. ,4,4,3,4,7
MFV8IE,6,A group pf people dancing. Camera in the center.,the dancers. I looked around to see what each was doing. ,4,4,4,4,2
MFV8IE,3,"A guy in a big ' walk-in'  wardrobe. Everything in pink. Lots of bags, shoes, and clothes. ",Followed the guy and looked around the closet.,3,3,4,3,4
MFV8IE,7,Aerial landscape. Lots of trees and mountains.,the trees and the scenery. ,4,4,3,2,5
MFV8IE,23,"A corridor in the university, with lots of people coming in. ",the people. I also explored the area. ,4,5,3,3,3
MFV8IE,28,A car in a road. The camera was flying over the scene. ,"the landscape, the car, and the compression artifacts. ",2,2,2,2,4
MFV8IE,10,A woman walking in the woods. Lots of trees. Brown floor.,"I basically looked at the woman, the trees, and the artifacts the woman' s dress and face. ",3,2,3,3,3
MFV8IE,17,"amusement park, right in in one of the attractions. I could see the other participants and the whole park. ","everything. the people beside me, but mostly the park and the view. ",5,4,4,4,5
MFV8IE,25,Mountains with snow and a beautiful scenery. ,"the snow. But, also the landscape. ",4,4,4,4,2
MFV8IE,30,flying in an airplane. A couple of jets around the camera. The helm of the pilot was also visible. Some vegetation bellow. ,"I explored the scene. Also, tried to read the letters in the airplane wings. ",3,4,3,3,4
MFV8IE,1,Scenery with a lake in the front view and rocks close by.,Just explored the scene. ,4,4,4,4,2
Z8AOYI,0,Elephants approaching the camera in an open field.,The elephant approaching closest to the camera,1,1,1,1,0
Z8AOYI,24,People walking around on UTD's campus near the CS building.,"Peoples' reactions to the camera, the tripod holding the camera, and the viewpoint drifting slightly.",1,1,2,1,1
Z8AOYI,29,"A 360 degree pac-man game, with the view following pac-man without input from the viewer","The ghosts, mostly",3,1,3,1,1
Z8AOYI,8,A helicopter ride over a nice beach.,The yacht just off shore.,2,2,2,1,1
Z8AOYI,27,Skydiving over Dubai.,"At first looking for the Burj Khalifa, but then on how close the skydivers got to the skyscrapers.",4,2,3,1,1
Z8AOYI,12,A drive through New York City.,The buildings and advertisements.,4,2,1,2,1
Z8AOYI,4,Two people near the windows in the new engineering building.,The guy walking around.,2,2,2,3,2
Z8AOYI,19,This lab.,"The people working in the lab, and also the fact that the camera view drifted.",3,3,3,3,2
Z8AOYI,10,A woman walking through a forest.,How the video somehow had a visual artifact that removed most of the woman's face a large percentage of the video.,1,1,1,1,2
Z8AOYI,5,A herd of rhinos.,"How much dung there was, and a rhino that was curious about the camera",3,2,2,2,2
Z8AOYI,26,A huge waterfall.,The cliff and waterfall.,4,4,4,4,2
Z8AOYI,1,A sunset on a hill.,The landscape and the wind in the grass.,4,4,3,3,2
Z8AOYI,13,An elevator ride in a glass elevator.,The items on each floor and the architecture.,3,3,3,3,2
Z8AOYI,18,A drone flying from the ground to high above a city.,The cityscape.,4,4,2,3,2
Z8AOYI,21,A tour of an expensive looking penthouse suite.,The man presenting.,3,3,2,2,2
6YDO10,0,many elephants,the elephant which used its nose to touch the ground near me.,4,4,3,3,0
6YDO10,23,"in ECSS building,  lots of students walk around. ",people walk to me,2,2,3,2,3
6YDO10,9,It is a cycle racing.I sat on the top of the car.,It is weird that I focus on the driver,3,2,4,3,2
6YDO10,22,It is in a office. A person who wants to print something and add a paper in the printer.,I focus on the fridge because I think the height of it is a little bit unrealistic. ,3,2,3,3,2
6YDO10,12,the city road,"I look around and I always think where I sat in this car. Maybe because the camera is set on the top of the car, I didn't feel I really sit in the car. ",3,2,2,3,3
6YDO10,20,aisle on the second floor in ECSN,"just look around, didn't focus on anything",2,2,2,2,3
6YDO10,5,rhinoceros are eating grass.,baby rhinoceros near me,3,3,3,3,2
6YDO10,14,I am in an elevator and it goes up then goes down.,"Even though I sit on the seat, I still can feel the weightlessness",4,4,4,4,3
6YDO10,30,I ride on the flight.,I still think about my position. That makes me feel unrealistic. ,2,2,2,2,2
6YDO10,17,I am riding the mega drop.,"It feels bad if I turn back to see the people, because I don't know where I sit. Besides, I didn't feel the weightlessness. ",2,1,2,1,1
6YDO10,25,iceberg,"the letters ""airpano""",3,1,3,2,2
6YDO10,28,I am sitting on the UAV and chasing a car,the car and my position,4,3,3,4,6
6YDO10,3,I am in a cloakroom and there is a man who is introducing something to me.,"I just feel I am too tall, because I think I could touch the second floor if I raise my hand.",3,2,3,2,2
6YDO10,8,I am flying along the coastline. ,the sea and waves,2,1,2,2,1
6YDO10,1,I stand on the mountain ,The sun and the wind,3,2,1,2,0
0EUCC2,0,several elephants ,elephants' moving ,2,2,2,2,0
0EUCC2,13,Elevator lifting up and down ,The view of different floors ,4,3,3,4,0
0EUCC2,29,pacman ,rewards and walls,2,2,2,2,1
0EUCC2,27,Skydiving in a island ,The towers to avoid collision with them! ,4,3,4,4,1
0EUCC2,26,Huge waterfall in beautiful forest.,How I am falling down! ,3,3,3,3,0
0EUCC2,6,Group dancing,their movement ,2,2,2,2,0
0EUCC2,7,Mountain forest,land and moving forward ,4,4,4,4,0
0EUCC2,12,An avenue in Manhattan ,Exploring around and finding where I am sitting! ,4,4,4,4,0
0EUCC2,19,Inside the lab,whether it is a picture or video ,3,3,3,3,0
0EUCC2,4,two guys in a building ,the place where this video captured. ,3,2,2,3,0
0EUCC2,23,The main entrance part of the department with students ,where I am located!!,4,3,3,4,0
0EUCC2,22,Printer room and Ehsan! ,Ehsan's activities (LOL),3,2,2,3,0
0EUCC2,10,Jungle and a lady walking through it,the lady and the path,3,3,2,3,0
0EUCC2,2,Mountains and sky,land,3,2,2,3,0
0EUCC2,18,A drone moving up in a city,The buildings ,3,3,3,3,0
WDRIB9,0,A group of elephants grazing in a green area.,Two elephants that tried to come near my sight.,4,3,3,4,2
WDRIB9,21,A guy was showing a house and describe its features,The guy,2,3,2,3,6
WDRIB9,26,Jumping slowly from a beautiful waterfall into jungle,"No focus
All surroundings",4,4,4,4,1
WDRIB9,24,UTD campus,"people who walking
my friends",3,4,3,4,5
WDRIB9,5,Some animals eating their food,two of them which had a fight,4,5,4,5,1
WDRIB9,9,"Two cars was racing, and I was in one of them",The other car,5,4,5,4,3
WDRIB9,14,The video was in a glass elevator ,Outside and elevator's door,5,4,5,4,1
WDRIB9,27,Jumping from sky to the city,buildings and landmarks,5,5,5,5,2
WDRIB9,12,Driving in NY,Buildings and landmarks,4,4,4,4,4
WDRIB9,20,ECSS 2nd floor,"The video was rotating, so no focus",2,3,2,3,5
WDRIB9,18,Going up with a drowne,The nearset building and roads,3,4,3,4,2
WDRIB9,1,Watching sunset in a green area,"Sun, and moving plants",4,3,4,3,2
WDRIB9,4,Two person in ECSW,Moving person,5,4,5,4,3
WDRIB9,7,Flying on the trees,Down in the trees,4,3,4,3,4
WDRIB9,29,Playing in a game,Mostly front,4,4,4,4,3
YHN1WZ,0,"Flat Green Grassland with a blue sky tinged with clouds.
Herd of elephants slowly marching my way
One elephant approached me and grabbed some grass
Then it sneezed?","First I looked in all directions
Then at the elephants",4,3,5,4,0
YHN1WZ,25,"Snowy mountain range.
2 Men climbing center peak
I also saw stutter. The camera motion was stuttering","Anything moving.
Looking down the valleys.
Looking at the details of mountain slopes.",2,3,3,3,0
YHN1WZ,4,"Two people. One pacing the room
Blurry text. The words are hardly readable. Without my glasses, maybe I would think I was really there.",General direction of travel of motion. I would lag behind it to view the location where the man had just visited. I.E. the hallway.,4,3,4,4,0
YHN1WZ,27,"Some kind of image distortion on the source guy's body. Like the images were overlapped.
Camera started shaking at the end, thrashing the video about.
I saw a helicopter. I saw an island
I looked at some tall sky scrapers.
I saw fellow divers.","helicopter, island
Close buildings
Diver next to me",4,4,4,4,0
YHN1WZ,7,"Trees, Large rough hills.
A home and road
Black cars parked on the road, like a road block",The hill ridges,4,3,4,3,0
YHN1WZ,19,"This room
Camera rotating
Kind of blurry",Who was there,5,4,4,5,0
YHN1WZ,29,PacMan Game,"Ghosts, where I was headed",5,3,5,5,0
YHN1WZ,24,"UTD and students
Blurry",Suspicious man in blue shirt after I had a look around,4,3,4,5,0
YHN1WZ,13,"Who's house is this?
3 Floors
Stairway with elevator in center","My eyes are too small, like I had tunnel vision
Everything, every nook and cranny.",4,3,4,4,0
YHN1WZ,9,"A Race
Massive and distracting HUD
I couldn't see all of the HUD","HUD (mph) 
Cars",3,2,2,4,0
YHN1WZ,17,"Theme park
Girls on a ride
Crowd
Large Hotel","Closest people, then the world around me",4,3,4,4,0
YHN1WZ,21,"Blurry text
A silent speaker, his face was blurry","Him for a moment, then the room",4,2,4,4,0
YHN1WZ,2,"Hills
Dry dirt, littered with rocks
Area closest to me was blurry. didn't matter for objects further away
Tunnel vision of the occulus",Are the clouds moving?,4,3,3,4,0
YHN1WZ,12,"New York?
Lots of billboards and skyscrapers",Buildings,5,4,4,5,0
YHN1WZ,6,"People who do choreography
Equipment
I can't look fast enough to keep up with where they point",People and room,4,3,4,4,0
T5817Q,0,I saw a herd of elephants in a bright green grass field. The elephants featured were walking slowly towards the camera until they had what seemed to be contact with the user or camera used to record the video.,I focused on the elephant that got the closest to me.,4,4,4,4,0
T5817Q,12,"During the video, I was seeing from the point of view of a camera ifxed to the roof of a car. This car was passing through what seemed to be an American city.","While watching the video, I focused mainly on looking up towards the skyscrapers and to my sides at the people walking by.",3,2,2,2,0
T5817Q,10,The video that I watched was set in the woods somewhere on a dirt trail. There was simply just the trail and one woman who was following the trail. ,"While watching this video, I focused mainly on the woman because the setting was very simple and disinteresting. I also focused on the woman mainly because her face was distorted throughout the entirety of the video.",1,1,1,1,0
T5817Q,18,"In the video, I was viewing a city from the point of view of a drone which was flown directly upwards from ground level until I could see the entire city.","While watching the video, I focused on the buildings and how large the city was.",3,3,3,3,0
T5817Q,2,In the video I was watching what seemed to be the top of a mountain.,"I focused mainly on the clouds in order to determine if the video had any motion. After watching the clouds very closely, I determined that there was indeed motion.",4,4,4,4,0
T5817Q,22,"In the video, I saw a man in an office setting, trying to work what appeared to be a printer.",I focused mainly on the man and what he was doing throughout the video.,4,4,4,4,0
T5817Q,28,"In the video, my point of view was from that at a very high speed drone, which was following a car through the country.",I focused on watching either of my sides as I quickly zoomed past these large grass fields. I also focused on the car and the people in it.,5,5,5,5,0
T5817Q,7,"In the video, I saw what appeared to be a mountain valley that was beautiful and colorful.",I focused on what appeared to be a barn or house of some kind in order to determine where this video was recorded.,5,5,5,5,0
T5817Q,3,"I watched a man speaking to the camera in what appeared to be some kind of enormous, pink, closet, filled with clothes, wigs, and shoes.","I focused at first on the man and then looked toward the items shown in the room. Once I got bored of looking at the articles of clothing and the accessories in the room, I shifted my focus back to the man and what he was doing.",4,4,4,4,0
T5817Q,26,"I saw a beautiful waterfall coming from a mountain surrounded by lush, green, foliage.",I focused mainly on the waterfall and the rainbow that was formed.,5,5,5,5,0
T5817Q,14,"In the video, I was in an elevator that was going up. This elevator had glass walls so I looked through and saw as I elevated past each floor.",I focused on looking out at what each floor had on it.,4,4,4,4,0
T5817Q,23,I saw from the point of view of a camera set up in the lobby of ECSS.,I focused on the people passing by and if I recognized any of them.,5,5,5,5,0
T5817Q,20,I saw from the point of view of a camera set up in the SSA (I think that is the building that was shown),I focused on the walls and signs in order to determine where the recording was taken.,5,5,5,5,0
T5817Q,5,I watched Rhinos eating grass in the sands of what appeared to be Africa.,I focused on the Rhinos throughout the entirety of the video.,5,5,5,5,0
T5817Q,30,I saw from the point of view of U.S. Navy aircraft flying through the air.,I focused on the jets and their formation throughout the entirety of the video.,5,5,5,5,0
T9DQFK,0,Elephants in a valley/plain walking past and investigating a camera set-up.,Landscape then elephants,1,1,1,1,0
T9DQFK,8,A flyover of a stretch of beach,The rocks on shore,1,1,1,3,0
T9DQFK,21,A tour of a modern loft apartment,Architecture and decorating style,1,1,1,2,0
T9DQFK,5,Rhinos eating hay,The spread of hay and how the rhinos ate,1,1,1,1,0
T9DQFK,10,Drone footage of a woman walking through a forest,The camera gear in the sky and how the woman's face kept being cut in half,1,1,1,1,0
T9DQFK,25,A mountain range with climbers reaching the peak of a mountain,The height of the mountains and possible paths,1,1,1,1,0
